OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
634,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Agricultural Use,Agriculture,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
635,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:05:06.000Z,,
637,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Golf Course,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
638,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:05:11.000Z,,
639,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:05:02.000Z,,
640,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Metro Park,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
641,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
642,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Res Conservation Devp 50% 0.2 - 0.5 du/ac,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
643,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Res Conservation Devp 50% 1 du/ac,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
644,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Roads and transportation,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
645,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Rural 0.2 - 0.5 DU/ac,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:05:05.000Z,,
646,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Rural Estate,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
647,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Special Residential LEEDS,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
648,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Suburban 0.5 - 3 DUs/ac,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
649,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Suburban High Density 3 - 5 DUs/ac,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
650,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Tier1,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
652,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Tier3,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
653,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Town Center,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
