X,Y,OBJECTID,COLS_KEY,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PRIMARY,ALT_GEOM,PHONE_NUM,GLOBALID,WEBSITE,OB_GYN,PEDIATRICS,PRIMARY_CARE
-82.995145689855079,40.099097916310534,5820373,998712,6545 KINGSMILL CT,Worthington Schools Bus Lot,Education - Other,,Yes,No,,{83773EB6-AD81-4A2E-8461-37E86C2E2988},,,,
-83.004429282494954,39.980649660023133,5820374,427169,895 N HIGH ST,The Rossi Bar & Kitchen,Retail - Restaurant,,Yes,No,,{62F1EC20-FF20-467C-A540-4BFB01E9BFA1},,,,
-82.984881610232236,39.935691653345685,5820375,1235731,414 FREBIS AVE,Beer Dock Drive-Thru,Retail - Commercial/Retail,,Yes,No,,{0A276B11-E7E8-4B77-899E-74C65EAB6286},,,,
-82.942777720304676,39.930853624937207,5820376,707480,1755 ALUM CREEK DR,Alvis House,Office - Non-Profit,,Yes,No,,{2EC59ADA-51A7-48BA-932E-EBE39DBF1866},,,,
-82.92920313580909,40.001963224045262,5820377,1261843,1536 N CASSADY AVE,Turbulence Sports Lounge,Retail - Restaurant,,Yes,No,,{F37F90A2-2B63-4F87-9B8D-B19348AEBE1D},,,,
-83.087711414416788,40.113290884175939,5820378,836285,2715 SAWBURY BLVD,HPR Clinic,Medical - Other,,Yes,No,614-766-5211,{F25B4E64-6A6C-4ED5-946E-158B33BDDD97},,,,
-82.975639472143257,40.088048997238118,5820379,874708,5919 KARL RD,Universal Fashion Foods,Retail - Mixed Use,Restaurant DB,Yes,No,,{554ADE30-BEB9-4B91-B2BC-4E782CC600B4},,,,
-83.013837339625695,40.024772903969009,5820380,668427,3070 N HIGH ST,Four Seas Asian Foodservice,Retail - Specialty Food,,Yes,No,,{48AAFB69-9463-4989-847C-9D7B4F2EF886},,,,
-82.984901339878732,39.923694959975059,5820381,132452,1931 PARSONS AVE,M V P Pharmacy,Retail - Commercial/Retail,,Yes,No,,{BC953344-53EA-4832-AF04-8C307A506489},,,,
-83.005899111390306,39.999708511746412,5820382,1236586,73 E 15TH AVE,Esponda Associates,Office - Corporate,,Yes,No,,{86453C86-9C2D-4833-B142-6CF350D6A4C7},,,,
-82.94727298013828,39.957808164830979,5820383,650823,1940 E MAIN ST,Spot Free Car Wash,Retail - Services,,Yes,No,,{73F1CEDC-649F-4E9D-B7A4-7117082A35CC},,,,
-83.049412648597112,40.049628216366457,5820384,418816,4460 KENNY RD,De Santis Flowers & Gifts,Retail - Commercial/Retail,,Yes,No,,{BBB66A45-3A41-4143-81E5-566CD5C53EF5},,,,
-82.92618269901979,40.083904245272706,5820385,762587,5450 WESTERVILLE RD,American Learning Center,Education - Daycare,ODJFS 400168,Yes,No,,{D0718419-C09E-454C-A017-9C69B1DFC3A4},,,,
-82.875070979360444,39.914667829445477,5820386,1235998,4535 REFUGEE RD,Phase Three Auto,Retail - Commercial/Retail,,Yes,No,,{F53DA22A-9501-4A09-8D04-83DEBF29A373},,,,
-82.97403155783303,40.032151738097213,5820387,709487,1476 OAKLAND PARK AVE,Colleen's Collectables,Retail - Commercial/Retail,,Yes,No,,{9ED892AA-5FA5-4B51-994F-39370EBEA350},,,,
-83.034326473957549,39.958023271958581,5820388,485811,1267 W BROAD ST,Columbus Construction,Office - Corporate,,Yes,No,,{9BBA280A-E27B-4C66-A762-0A85F1DB995C},,,,
-82.829738384207005,39.926740226109025,5820389,974027,2662 BRICE RD,Half Price Books,Retail - Commercial/Retail,,Yes,No,,{00925FC5-5BC0-4AE0-A9B9-6AB636DD5981},,,,
-82.970984729534521,40.106248455294541,5820390,762357,1680 SCHROCK RD,Sister's Academy,Education - Daycare,"ODJFS 400801
",Yes,No,,{CCBBC9CD-5937-4D72-A78C-166FED150FC2},,,,
-82.952361941463408,40.085799336119962,5820391,468053,2454 E DUBLIN-GRANVILLE RD,Roosters,Retail - Restaurant,,Yes,No,,{DCFBD5E9-16A9-4056-A2DF-9A4B0CE46516},,,,
-82.885521803618332,40.057077093920462,5820392,485186,4300 MORSE RD,Germain Nissan,Retail - Commercial/Retail,,Yes,No,,{43A60488-38C7-4389-B708-F3583DD2EEEC},,,,
-83.113458280689301,40.013223604049344,5820393,507724,2909 SCIOTO DARBY EXECUTIVE CT,Dura Belt,Industrial - Manufacturing,,Yes,No,,{875F37C5-8023-44FB-810F-99F5E14528B5},,,,
-82.882328676546507,39.912596456070354,5820394,1242477,4273 EASTLAND SQUARE DR,Spinners,Retail - Services,,Yes,No,,{54C94870-A170-4E38-AE4C-A0E2DC0572B3},,,,
-83.070223174464843,40.0561585140848,5820395,1241200,1880 W HENDERSON RD,Easton Shoes,Retail - Commercial/Retail,,Yes,No,,{FCBA88BE-07A2-4353-8C58-A7F299527670},,,,
-83.120876074236193,39.917408764045014,5820396,1209670,1693 HOLT RD,Mean Bean,Retail - Commercial/Retail,,Yes,No,,{F9C2F72F-C101-4A77-8ED7-2CD0ECAC6354},,,,
-82.999047787995011,39.957396016949154,5820397,1275388,25 E RICH ST,COTA Transit Terminal,Transportation - Bus,,Yes,No,,{962BCC14-024F-4B3D-9CA5-95483E6E6C7B},,,,
-83.048303974932381,39.996111385923314,5820398,581027,1897 NORTHWEST BLVD,Arlington Marathon,Retail - Gas Station,,Yes,No,,{D6F9AF05-C058-463E-A8B3-04A979D37100},,,,
-83.045768331956324,39.955499925101108,5820399,579706,1775 W BROAD ST,Friendship Baptist Church,Public Places - House of Worship,,Yes,No,,{03BF547B-FB36-4BD9-ACD0-1581A6F251D6},,,,
-83.038589618751473,39.963504484707443,5820400,529914,1379 MCKINLEY AVE,Canel Roofing & Construction,Retail - Services,,Yes,No,,{F97B2464-59E9-4EA4-9365-59DB56F3BFD5},,,,
-82.880716641756663,39.92237688358572,5820401,1061992,2573 S HAMILTON RD,Sally Beauty Supply,Retail - Commercial/Retail,,Yes,No,,{A880E7A0-A50C-4763-9E6F-34215DA4C224},,,,
-83.037792997017647,39.9136610935047,5820402,425921,2151 HARDY PARKWAY ST,Ameripay Payroll & Bookkeeping,Office - Corporate,,Yes,No,,{6A3C1584-B08D-45D0-B352-D478F21D03CD},,,,
-82.824943187588232,39.917710903275633,5820403,526913,3100 DELTA MARINE DR,Columbus Diesel Supply,Retail - Commercial/Retail,,Yes,No,,{439E6578-4BCE-4660-BF8C-39F2735E31CB},,,,
-82.91391434876067,40.051957053069266,5820404,1322541,4008 FENLON ST,Free People,Retail - Commercial/Retail,,Yes,No,,{582DCD3B-8E00-43E7-BE67-D51E8DB6936F},,,,
-83.146246455501071,39.98138751135609,5820405,1222436,1444 RENTRA DR,Culver's,Retail - Restaurant,,Yes,No,6148708022,{837ED670-372D-4EAA-AE68-6B7B637B704E},,,,
